common_name,scientific_name,start_time,end_time,confidence,Species
Cattle Egret,Bubulcus ibis,102.0,105.0,0.15453889966011047,Bubulcus ibis_Cattle Egret
Asian Openbill,Anastomus oscitans,165.0,168.0,0.16822990775108337,Anastomus oscitans_Asian Openbill
Cattle Egret,Bubulcus ibis,189.0,192.0,0.13738445937633514,Bubulcus ibis_Cattle Egret
Asian Openbill,Anastomus oscitans,225.0,228.0,0.10337696969509125,Anastomus oscitans_Asian Openbill
Cattle Egret,Bubulcus ibis,246.0,249.0,0.46840614080429077,Bubulcus ibis_Cattle Egret
Cattle Egret,Bubulcus ibis,249.0,252.0,0.1612304300069809,Bubulcus ibis_Cattle Egret
Cattle Egret,Bubulcus ibis,252.0,255.0,0.15702655911445618,Bubulcus ibis_Cattle Egret
Dollarbird,Eurystomus orientalis,327.0,330.0,0.12015710771083832,Eurystomus orientalis_Dollarbird
Asian Openbill,Anastomus oscitans,390.0,393.0,0.3357706665992737,Anastomus oscitans_Asian Openbill
Asian Openbill,Anastomus oscitans,564.0,567.0,0.2693893313407898,Anastomus oscitans_Asian Openbill
Asian Openbill,Anastomus oscitans,570.0,573.0,0.19134612381458282,Anastomus oscitans_Asian Openbill
Dollarbird,Eurystomus orientalis,579.0,582.0,0.12911619246006012,Eurystomus orientalis_Dollarbird
