Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species,Confidence
1,1,1,102.0,105.0,1000,8000,Cattle Egret,0.155
2,1,1,165.0,168.0,1000,8000,Asian Openbill,0.168
3,1,1,189.0,192.0,1000,8000,Cattle Egret,0.137
4,1,1,225.0,228.0,1000,8000,Asian Openbill,0.103
5,1,1,246.0,249.0,1000,8000,Cattle Egret,0.468
6,1,1,249.0,252.0,1000,8000,Cattle Egret,0.161
7,1,1,252.0,255.0,1000,8000,Cattle Egret,0.157
8,1,1,327.0,330.0,1000,8000,Dollarbird,0.12
9,1,1,390.0,393.0,1000,8000,Asian Openbill,0.336
10,1,1,564.0,567.0,1000,8000,Asian Openbill,0.269
11,1,1,570.0,573.0,1000,8000,Asian Openbill,0.191
12,1,1,579.0,582.0,1000,8000,Dollarbird,0.129
